[22/02/2021 21:28:07] INFO:timings_list.py:Produce the list of all the run times in the MySQL database
2021-02-18 04:30:12 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000015.gz                      |    11.58|     9.42|   136.17|{"index": "000015", "cadence": 900, "size": 0.047091936472731265}
2021-02-18 04:30:14 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000016.gz                      |     0.00|     0.00|     0.00|{"index": "000016", "cadence": 900, "size": 0.05221672777914186}
2021-02-18 04:30:15 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000016.gz                      |     0.05|     0.02|     0.02|{"index": "000016", "cadence": 900, "size": 0.05221672777914186}
2021-02-18 04:30:15 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000016.gz                      |    13.68|     9.06|   137.42|{"index": "000016", "cadence": 900, "size": 0.05221672777914186}
2021-02-18 04:30:16 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000017.gz                      |     0.00|     0.00|     0.00|{"index": "000017", "cadence": 900, "size": 0.05789922573134877}
2021-02-18 04:30:16 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000017.gz                      |     0.06|     0.02|     0.02|{"index": "000017", "cadence": 900, "size": 0.05789922573134877}
2021-02-18 04:30:17 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000017.gz                      |    14.25|     8.87|   137.51|{"index": "000017", "cadence": 900, "size": 0.05789922573134877}
2021-02-18 04:30:21 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000018.gz                      |     0.00|     0.00|     0.00|{"index": "000018", "cadence": 900, "size": 0.06420012288914004}
2021-02-18 04:30:21 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000018.gz                      |     0.06|     0.02|     0.02|{"index": "000018", "cadence": 900, "size": 0.06420012288914004}
2021-02-18 04:30:21 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000018.gz                      |    11.35|     9.24|   137.40|{"index": "000018", "cadence": 900, "size": 0.06420012288914004}
2021-02-18 04:30:23 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000019.gz                      |     0.00|     0.00|     0.00|{"index": "000019", "cadence": 900, "size": 0.07118671669471166}
2021-02-18 04:30:23 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000020.gz                      |     0.00|     0.00|     0.00|{"index": "000020", "cadence": 900, "size": 0.07893362825058325}
2021-02-18 04:30:23 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000019.gz                      |     0.08|     0.02|     0.02|{"index": "000019", "cadence": 900, "size": 0.07118671669471166}
2021-02-18 04:30:23 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000020.gz                      |     0.05|     0.02|     0.02|{"index": "000020", "cadence": 900, "size": 0.07893362825058325}
2021-02-18 04:30:23 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000019.gz                      |    11.26|     9.20|   138.98|{"index": "000019", "cadence": 900, "size": 0.07118671669471166}
2021-02-18 04:30:23 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000020.gz                      |    11.51|     9.34|   140.82|{"index": "000020", "cadence": 900, "size": 0.07893362825058325}
2021-02-18 04:30:24 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000021.gz                      |     0.00|     0.00|     0.00|{"index": "000021", "cadence": 900, "size": 0.08752359931869319}
2021-02-18 04:30:24 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000021.gz                      |     0.06|     0.02|     0.02|{"index": "000021", "cadence": 900, "size": 0.08752359931869319}
2021-02-18 04:30:24 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000021.gz                      |    11.64|     9.36|   142.18|{"index": "000021", "cadence": 900, "size": 0.08752359931869319}
2021-02-18 04:30:29 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000022.gz                      |     0.00|     0.00|     0.00|{"index": "000022", "cadence": 900, "size": 0.09704837605311203}
2021-02-18 04:30:30 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000022.gz                      |     0.05|     0.02|     0.02|{"index": "000022", "cadence": 900, "size": 0.09704837605311203}
2021-02-18 04:30:30 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000022.gz                      |    15.55|     9.47|   147.56|{"index": "000022", "cadence": 900, "size": 0.09704837605311203}
2021-02-18 04:30:31 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000023.gz                      |     0.00|     0.00|     0.00|{"index": "000023", "cadence": 900, "size": 0.10760968890518063}
2021-02-18 04:30:31 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000023.gz                      |     0.05|     0.02|     0.02|{"index": "000023", "cadence": 900, "size": 0.10760968890518063}
2021-02-18 04:30:31 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000023.gz                      |    14.84|     9.47|   153.41|{"index": "000023", "cadence": 900, "size": 0.10760968890518063}
2021-02-18 04:30:33 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000024.gz                      |     0.00|     0.00|     0.00|{"index": "000024", "cadence": 900, "size": 0.11932033916706039}
2021-02-18 04:30:34 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000024.gz                      |     0.07|     0.02|     0.02|{"index": "000024", "cadence": 900, "size": 0.11932033916706039}
2021-02-18 04:30:34 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000024.gz                      |    11.52|     9.13|   155.24|{"index": "000024", "cadence": 900, "size": 0.11932033916706039}
2021-02-18 04:30:35 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000025.gz                      |     0.00|     0.00|     0.00|{"index": "000025", "cadence": 900, "size": 0.13230540375864713}
2021-02-18 04:30:35 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000025.gz                      |     0.06|     0.02|     0.02|{"index": "000025", "cadence": 900, "size": 0.13230540375864713}
2021-02-18 04:30:35 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000026.gz                      |     0.00|     0.00|     0.00|{"index": "000026", "cadence": 900, "size": 0.14670357112570953}
2021-02-18 04:30:35 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000025.gz                      |    11.79|     9.22|   163.86|{"index": "000025", "cadence": 900, "size": 0.13230540375864713}
2021-02-18 04:30:35 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000026.gz                      |     0.06|     0.02|     0.02|{"index": "000026", "cadence": 900, "size": 0.14670357112570953}
2021-02-18 04:30:35 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000026.gz                      |    12.29|     9.34|   173.85|{"index": "000026", "cadence": 900, "size": 0.14670357112570953}
2021-02-18 04:30:36 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000027.gz                      |     0.00|     0.00|     0.00|{"index": "000027", "cadence": 900, "size": 0.16266862251746472}
2021-02-18 04:30:37 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000027.gz                      |     0.12|     0.02|     0.02|{"index": "000027", "cadence": 900, "size": 0.16266862251746472}
2021-02-18 04:30:37 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000027.gz                      |    12.21|     9.33|   181.58|{"index": "000027", "cadence": 900, "size": 0.16266862251746472}
2021-02-18 04:30:46 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000028.gz                      |     0.00|     0.00|     0.00|{"index": "000028", "cadence": 900, "size": 0.18037107446454081}
