[21/02/2021 02:09:42] INFO:timings_list.py:Produce the list of all the run times in the MySQL database
2021-02-18 04:25:13 |test015_batman_null                 |write_lc          |test015_batman_null_25_bls_kovacs.gz          |     0.47|     0.46|     0.46|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:25:13 |test015_batman_null                 |load_lc           |test015_batman_null_25_bls_kovacs.gz          |     0.11|     0.11|     0.11|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:25:13 |test015_batman_null                 |verify            |test015_batman_null_25_bls_kovacs.gz          |     0.07|     0.07|     0.07|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:25:14 |test015_batman_null                 |load_lc           |test015_batman_null_25_bls_kovacs.gz          |     0.11|     0.11|     0.11|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:25:14 |test015_batman_null                 |transit_detection |test015_batman_null_25_bls_kovacs.gz          |     0.53|     0.53|     0.53|{"index": "000005", "tda": "bls_kovacs", "cadence": 25}
2021-02-18 04:25:14 |test015_multiplication              |psls_synthesis    |test015_multiplication_1.gz                   |     0.93|     0.21|     3.80|{"index": "000000", "null": 0}
2021-02-18 04:25:15 |test015_multiplication              |write_lc          |test015_multiplication_1.gz                   |     0.35|     0.35|     0.35|{"index": "000000", "null": 0}
2021-02-18 04:25:16 |test015_multiplication              |batman_synthesis  |test015_multiplication_2.gz                   |     0.00|     0.00|     0.00|{"index": "000000", "null": 0}
2021-02-18 04:25:16 |test015_multiplication              |write_lc          |test015_multiplication_2.gz                   |     0.25|     0.25|     0.25|{"index": "000000", "null": 0}
2021-02-18 04:25:16 |test015_multiplication              |load_lc           |test015_multiplication_1.gz                   |     0.11|     0.11|     0.11|{"index": "000000", "null": 0}
2021-02-18 04:25:16 |test015_multiplication              |load_lc           |test015_multiplication_2.gz                   |     0.09|     0.09|     0.09|{"index": "000000", "null": 0}
2021-02-18 04:25:16 |test015_multiplication              |multiplication    |test015_multiplication_output.gz              |     0.00|     0.00|     0.00|{"index": "000000", "null": 0}
2021-02-18 04:25:16 |test015_multiplication              |write_lc          |test015_multiplication_output.gz              |     0.35|     0.35|     0.35|{"index": "000000", "null": 0}
2021-02-18 04:25:16 |test015_multiplication              |load_lc           |test015_multiplication_output.gz              |     0.11|     0.11|     0.11|{"index": "000000", "null": 0}
2021-02-18 04:25:17 |test015_multiplication              |verify            |test015_multiplication_output.gz              |     0.07|     0.07|     0.07|{"index": "000000", "null": 0}
2021-02-18 04:25:17 |test015_multiplication              |load_lc           |test015_multiplication_output.gz              |     0.11|     0.11|     0.11|{"index": "000000", "null": 0}
2021-02-18 04:25:17 |test015_multiplication              |transit_detection |test015_multiplication_output.gz              |    22.60|    15.70|   135.69|{"index": "000000", "null": 0}
2021-02-18 04:25:39 |test730_psls_synthesise_earth       |psls_synthesis    |test730_earth_psls.gz                         |   114.61|     9.98|   117.26|{"index": "000000", "null": 0}
2021-02-18 04:27:34 |test730_psls_synthesise_earth       |write_lc          |test730_earth_psls.gz                         |    16.76|    16.65|    16.65|{"index": "000000", "null": 0}
2021-02-18 04:27:51 |test730_psls_synthesise_earth       |load_lc           |test730_earth_psls.gz                         |     5.36|     5.27|     5.27|{"index": "000000", "null": 0}
2021-02-18 04:27:56 |test730_psls_synthesise_earth       |verify            |test730_earth_psls.gz                         |     3.21|     3.21|     3.21|{"index": "000000", "null": 0}
2021-02-18 04:27:59 |test015_psls_tls                    |psls_synthesis    |test015_psls_tls.gz                           |     2.75|     0.21|     5.68|{"index": "000000", "null": 0}
2021-02-18 04:28:02 |test015_psls_tls                    |write_lc          |test015_psls_tls.gz                           |     0.35|     0.34|     0.35|{"index": "000000", "null": 0}
2021-02-18 04:28:03 |test015_psls_tls                    |load_lc           |test015_psls_tls.gz                           |     0.11|     0.11|     0.11|{"index": "000000", "null": 0}
2021-02-18 04:28:03 |test015_psls_tls                    |verify            |test015_psls_tls.gz                           |     0.07|     0.07|     0.07|{"index": "000000", "null": 0}
2021-02-18 04:28:03 |test015_psls_tls                    |load_lc           |test015_psls_tls.gz                           |     0.11|     0.11|     0.11|{"index": "000000", "null": 0}
2021-02-18 04:28:03 |test015_psls_tls                    |transit_detection |test015_psls_tls.gz                           |    17.74|     5.87|   187.60|{"index": "000000", "null": 0}
2021-02-18 04:28:21 |test015_psls_tls_null               |psls_synthesis    |test015_psls_tls_null.gz                      |     0.90|     0.21|     3.68|{"index": "000000", "null": 0}
2021-02-18 04:28:21 |test015_psls_tls_null               |write_lc          |test015_psls_tls_null.gz                      |     0.34|     0.34|     0.34|{"index": "000000", "null": 0}
2021-02-18 04:28:22 |test015_psls_tls_null               |load_lc           |test015_psls_tls_null.gz                      |     0.11|     0.11|     0.11|{"index": "000000", "null": 0}
2021-02-18 04:28:22 |test015_psls_tls_null               |verify            |test015_psls_tls_null.gz                      |     0.07|     0.07|     0.07|{"index": "000000", "null": 0}
2021-02-18 04:28:22 |test015_psls_tls_null               |load_lc           |test015_psls_tls_null.gz                      |     0.11|     0.11|     0.11|{"index": "000000", "null": 0}
2021-02-18 04:28:22 |test015_psls_tls_null               |transit_detection |test015_psls_tls_null.gz                      |    17.23|     5.87|   179.90|{"index": "000000", "null": 0}
2021-02-18 04:28:39 |test_rebinning                      |psls_synthesis    |test_rebinning_1.gz                           |   111.93|     9.99|   114.63|{"index": "000000", "null": 0}
2021-02-18 04:30:31 |test_rebinning                      |write_lc          |test_rebinning_1.gz                           |    16.75|    16.65|    16.65|{"index": "000000", "null": 0}
2021-02-18 04:30:48 |test_rebinning                      |load_lc           |test_rebinning_1.gz                           |     5.35|     5.25|     5.25|{"index": "000000", "null": 0}
2021-02-18 04:30:53 |test_rebinning                      |verify            |test_rebinning_1.gz                           |     3.22|     3.22|     3.22|{"index": "000000", "null": 0}
2021-02-18 04:30:57 |test_rebinning                      |load_lc           |test_rebinning_1.gz                           |     5.37|     5.27|     5.27|{"index": "000000", "null": 0}
2021-02-18 04:31:02 |test_rebinning                      |binning           |test_rebinning_1.gz                           |     0.12|     0.12|     0.12|{"index": "000000", "null": 0}
2021-02-18 04:31:02 |test_rebinning                      |write_lc          |test_rebinning_2.gz                           |     1.47|     1.46|     1.46|{"index": "000000", "null": 0}
2021-02-18 04:31:04 |test_rebinning                      |load_lc           |test_rebinning_2.gz                           |     0.46|     0.45|     0.45|{"index": "000000", "null": 0}
2021-02-18 04:31:04 |test_rebinning                      |verify            |test_rebinning_2.gz                           |     0.28|     0.28|     0.28|{"index": "000000", "null": 0}
2021-02-18 04:31:04 |tls_timing_long_periods             |psls_synthesis    |ttlp_000000.gz                                |     0.52|     0.04|     3.34|{"index": "000000", "cadence": 900, "lc_length": 84}
2021-02-18 04:31:05 |tls_timing_long_periods             |transit_detection |ttlp_000000.gz                                |    16.23|     8.19|   156.48|{"index": "000000", "cadence": 900, "lc_length": 84}
2021-02-18 04:31:21 |tls_timing_long_periods             |psls_synthesis    |ttlp_000001.gz                                |     0.52|     0.05|     3.18|{"index": "000001", "cadence": 900, "lc_length": 112}
2021-02-18 04:31:22 |tls_timing_long_periods             |transit_detection |ttlp_000001.gz                                |    24.49|    12.06|   251.64|{"index": "000001", "cadence": 900, "lc_length": 112}
2021-02-18 04:31:46 |tls_timing_long_periods             |psls_synthesis    |ttlp_000002.gz                                |     0.58|     0.07|     3.08|{"index": "000002", "cadence": 900, "lc_length": 168}
2021-02-18 04:31:47 |tls_timing_long_periods             |transit_detection |ttlp_000002.gz                                |    49.20|    25.42|   501.68|{"index": "000002", "cadence": 900, "lc_length": 168}
2021-02-18 04:32:37 |tls_timing_long_periods             |psls_synthesis    |ttlp_000003.gz                                |     0.66|     0.10|     3.48|{"index": "000003", "cadence": 900, "lc_length": 252}
2021-02-18 04:32:37 |tls_timing_long_periods             |transit_detection |ttlp_000003.gz                                |     9.03|     3.92|    76.61|{"index": "000003", "cadence": 900, "lc_length": 252}
2021-02-18 04:32:46 |tls_timing_long_periods             |psls_synthesis    |ttlp_000004.gz                                |     0.72|     0.14|     3.16|{"index": "000004", "cadence": 900, "lc_length": 365.25}
2021-02-18 04:32:47 |tls_timing_long_periods             |transit_detection |ttlp_000004.gz                                |    30.21|    14.00|   251.99|{"index": "000004", "cadence": 900, "lc_length": 365.25}
2021-02-18 04:33:17 |tls_timing_long_periods             |psls_synthesis    |ttlp_000005.gz                                |     1.14|     0.32|     4.10|{"index": "000005", "cadence": 900, "lc_length": 730.5}
2021-02-18 04:33:19 |tls_timing_long_periods             |transit_detection |ttlp_000005.gz                                |   142.58|    40.82|  1520.33|{"index": "000005", "cadence": 900, "lc_length": 730.5}
